City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,taksimo,56.3444,114.8794,278.17,44,84,1.55,RU,1682680646
83,papatowai,-46.5619,169.4708,282.94,94,32,1.83,NZ,1682680646
84,veinticinco de mayo,-35.4323,-60.1727,288.14,88,6,0.89,AR,1682680643
85,umba,66.6871,34.3429,276.18,72,32,5.95,RU,1682680647
86,hithadhoo,-0.6,73.0833,302.03,73,100,4.14,MV,1682680647
87,suva,-18.1416,178.4415,295.86,100,20,0.0,FJ,1682680647
88,fortaleza,-3.7227,-38.5247,300.22,83,0,2.06,BR,1682680647
89,olonkinbyen,70.9221,-8.7187,269.34,92,100,12.96,SJ,1682680647
90,al mawsil al jadidah,36.3346,43.0978,304.79,13,100,5.64,IQ,1682680648
91,port elizabeth,-33.918,25.5701,297.09,74,33,1.79,ZA,1682680437
92,hamilton,39.1834,-84.5333,286.56,96,100,1.54,US,1682680462
93,huarmey,-10.0681,-78.1522,296.91,86,91,3.26,PE,1682680649
94,katsuura,35.1333,140.3,290.81,75,100,7.15,JP,1682680649
95,lethem,3.3803,-59.7968,297.62,87,69,3.27,GY,1682680649
96,anadyr,64.75,177.4833,265.43,79,40,1.0,RU,1682680650
97,margaret river,-33.95,115.0667,287.88,65,75,3.62,AU,1682680651
98,koumra,8.9126,17.5539,312.06,22,100,1.36,TD,1682680651
99,kapa'a,22.0752,-159.319,295.33,85,100,5.66,US,1682680652
100,tumayr,25.7039,45.868,306.96,16,1,5.64,SA,1682680652
101,wynyard,-41.0,145.7167,282.58,76,52,2.16,AU,1682680652
102,invercargill,-46.4,168.35,281.16,95,22,1.62,NZ,1682680652
103,kruisfontein,-34.0033,24.7314,295.86,60,47,5.14,ZA,1682680653
104,nova olimpia,-14.7972,-57.2881,295.68,93,1,0.27,BR,1682680653
105,luderitz,-26.6481,15.1594,295.97,53,6,9.57,NA,1682680653
106,tlapa de comonfort,17.55,-98.55,292.74,48,16,2.19,MX,1682680427
107,altamira,-3.2033,-52.2064,298.2,100,75,1.03,BR,1682680623
108,hola,51.5377,23.1902,284.25,37,36,2.38,PL,1682680654
109,lorengau,-2.0226,147.2712,300.68,78,93,1.16,PG,1682680654
110,pisco,-13.7,-76.2167,292.6,88,21,1.03,PE,1682680480
111,burao,9.5221,45.5336,295.69,73,99,8.03,SO,1682680654
112,bandundu,-3.3167,17.3667,304.06,61,94,0.83,CD,1682680655
113,cabo san lucas,22.8909,-109.9124,292.38,74,32,6.04,MX,1682680655
114,mahina,-17.5065,-149.489,298.02,88,20,1.03,PF,1682680655
115,jumla,29.2747,82.1838,287.28,63,89,2.77,NP,1682680505
116,talnakh,69.4865,88.3972,266.6,88,52,1.39,RU,1682680655
117,dawesville,30.9224,-84.0091,292.79,97,100,0.0,US,1682680656
118,bissora,12.2231,-15.4475,306.19,19,30,1.69,GW,1682680656
119,bredasdorp,-34.5322,20.0403,293.79,44,6,6.16,ZA,1682680656
120,strezhevoy,60.7333,77.5889,274.12,69,78,10.87,RU,1682680657
121,udachny,66.4167,112.4,274.51,80,100,4.61,RU,1682680657
122,mili,6.0815,171.735,301.21,80,96,7.61,MH,1682680657
123,revda,56.801,59.9303,279.15,72,100,2.7,RU,1682680657
124,east london,-33.0153,27.9116,297.67,64,0,6.69,ZA,1682680658
125,howard springs,-12.497,131.047,300.83,87,34,1.22,AU,1682680658
126,newnham,-41.3833,147.1333,282.1,72,98,4.63,AU,1682680658
127,okhotsk,59.3833,143.3,271.88,97,67,0.52,RU,1682680658
128,sparta,43.9441,-90.8129,283.89,65,0,0.0,US,1682680658
129,kununurra,-15.7667,128.7333,299.14,78,81,0.0,AU,1682680659
130,yellowknife,62.456,-114.3525,271.24,100,74,1.34,CA,1682680110
131,deqen,29.9618,90.7188,283.92,20,77,2.87,CN,1682680659
132,hawaiian paradise park,19.5933,-154.9731,293.88,94,0,1.54,US,1682680659
133,birjand,32.8663,59.2211,301.41,9,75,5.14,IR,1682680505
134,verkhovazh'ye,60.7472,42.0465,281.65,67,92,4.54,RU,1682680660
135,bahawalnagar,30.5508,73.3908,308.35,17,99,4.25,PK,1682680660
136,rio grande,-32.035,-52.0986,289.21,87,55,1.88,BR,1682680660
137,kingston,17.997,-76.7936,299.68,80,20,3.6,JM,1682680660
138,prado,-17.3411,-39.2208,298.43,79,0,2.91,BR,1682680661
139,nuuk,64.1835,-51.7216,272.49,100,20,1.03,GL,1682680661
140,yarmouth,41.7057,-70.2286,281.46,96,100,3.09,US,1682680661
141,tolanaro,-25.0319,46.9987,297.96,68,67,5.9,MG,1682680662
